year,round,q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
2025,1,Q001,다음은 네트워크 보완에 관련된 문제이다. 괄호안에 알맞는 용어를 작성하시오. (   )은/...,세션 하이재킹,Session Hijacking,부족,,
2025,1,Q002,다음은 제약조건과 관련된 문제이다. 괄호안에 알맞는 용어를 보기에 골라 작성하시오. 개체，...,ㄱ. 도메인， ㄴ. 개체， ㄷ. 참조,제약조건,없음,images/2025_round1/Q002.png,
2025,1,Q003,아래의 내용에서 설명 글의 괄호안의 용어를 영문 약자로 작성하시오. (        ) 은...,CRC,Cyclic Redundancy Check,부족,,
2025,1,Q004,다음은 악성코드 관련된 문제이다. 아래 내용을 확인하여   보기에 골라 작성하시오. 사용자...,ㄹ,스캐어 웨어 (Scareware),부족,,
2025,1,Q005,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,출력1출력5,,없음,images/2025_round1/Q005.png,java
2025,1,Q006,아래 내용은 ARP/RARP에 대한 설명이다. 각 설명에 해당하는 것을 작성하시오.  (1...,(1) ARP， (2) RARP,,없음,,
2025,1,Q007,다음은 SQL 문제이다. 아래 두 테이블을 참고하여   보기에 쿼리 실행 결과를 작성하시오...,이순신， 1000,SQL JOIN 결과,부족,images/2025_round1/Q007.png,
2025,1,Q009,IP 주소가 192.168.35.10， 서브넷 255.255.252.0인 PC에서 브로드캐...,ㄱ，ㄴ，ㄷ，ㄹ，ㅁ,서브넷 브로드캐스팅,부족,,
2025,1,Q010,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,4， BACDE,,없음,images/2025_round1/Q010.png,c
2025,1,Q011,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,13,,없음,images/2025_round1/Q011.png,c
2025,1,Q012,다음은 결합도와 관련된 내용이다. 보기에 알맞는 답을 골라 작성하시오.  (1) 다른 모듈...,(1) ㅁ， (2) ㄴ， (3) ㄹ,"내용 결합도, 스탬프 결합도, 공통 결합도",부족,,
2025,1,Q013,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,54,,없음,images/2025_round1/Q013.png,java
2025,1,Q014,아래는 디자인 패턴에 대한 설명이다. 알맞는 답을 보기에 골라 작성하시오. 서로 다른 인터...,Adapter,Adapter 패턴,부족,images/2025_round1/Q014.png,
2025,1,Q015,문장(Statement) 커버리지 테스트를 수행하려고 한다. 코드를 아래의 제어 흐름도 빈...,(1) int a = 0， (2) a < m || b[a] < x， (3) b[a] < 0， (4) b[a] = -b[a];， (5) a++;， (6) return 1;， (7) ③ → ④ → ⑤ → ② → ⑥,문장 커버리지,없음,images/2025_round1/Q015_1.png,unknown
2025,1,Q001,(  ①    )  2. (    ②    )  3. (    ③    )  4. (   ...,세션 하이재킹,Session Hijacking,부족,,
2025,1,Q016,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,20,,없음,images/2025_round1/Q016.png,java
2025,1,Q017,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,13,,없음,,python
2025,1,Q018,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오. 19...,35421,,없음,images/2025_round1/Q018.png,c
2025,1,Q020,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,4,,없음,images/2025_round1/Q020.png,java
2025,2,Q001,다음은 파일 구조와 관련된 설명이다. 설명을 읽고 괄호 안에 들어갈 가장 알맞은 용어를 작...,인덱스,색인(Index) 접근 방법,부족,images/2025_round2/Q001.png,
2025,2,Q002,다음은 데이터베이스 릴레이션의 구성 요소 중 하나에 대한 설명이다. 설명을 읽고 보기에서 ...,ㄷ,Attribute,없음,,
2025,2,Q003,다음은 정보보안 관련 문제이다. 아래 내용을 보고   알맞는 단어를 작성하시오. 원격 접속...,SSH,Secure Shell,부족,,
2025,2,Q005,다음은 Java의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,BB,,없음,images/2025_round2/Q005.png,java
2025,2,Q006,다음은 IP 주소와 서브넷 마스크에 관한 문제이다. 주어진 정보를 참고하여   괄호 안에 ...,① 128， ② 62,네트워크 주소와 호스트 수,부족,,
2025,2,Q007,다음은 디자인 패턴에 관한 문제이다. 아래 내용을 보고   알맞는 단어를 작성하시오. 어떤...,Proxy,Proxy 패턴,없음,,
2025,2,Q009,다음은 Java언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,19,,없음,images/2025_round2/Q009.png,java
2025,2,Q010,다음은 Java언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,5P,,없음,images/2025_round2/Q010.png,java
2025,2,Q011,다음 아래 제어 흐름 그래프가 분기 커버리지를 만족하기 위한 테스팅 순서를 쓰시오.,1234561， 124567,분기 커버리지,없음,images/2025_round2/Q011.png,
2025,2,Q012,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,2 그리고 3,,없음,images/2025_round2/Q012.png,c
2025,2,Q013,라운드로빈(RR) 방식을 이용하고 아래 내용을 참고하여   평균대기시간을 구하시오. 운영체...,11.75,라운드로빈 평균 대기시간,부족,images/2025_round2/Q013.png,
2025,2,Q014,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,5 그리고 6,,없음,images/2025_round2/Q014.png,c
2025,2,Q015,다음은 Java언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,1a3b3,,없음,images/2025_round2/Q015.png,java
2025,2,Q016,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,3 1 2,,없음,images/2025_round2/q016.png,c
2025,2,Q017,다음은 Pyhon언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,2,,없음,images/2025_round2/q017.png,python
