file,q_no,reason,explanation_preview
items_2021_round1,Q001,해설 없음,(해설 없음)
items_2021_round1,Q002,해설이 너무 짧음,DB설계 절차 : 요구사항 분석 > 개념적 설계 > 논리적 설계 > 물리적 설계 > 구현
items_2021_round1,Q005,해설이 너무 짧음,각 단어들의 0번째(첫번째 글자) row 출력
items_2021_round1,Q006,해설 없음,(해설 없음)
items_2021_round1,Q007,해설 없음,(해설 없음)
items_2021_round1,Q008,해설이 너무 짧음,"반정규화 방법 : 테이블 통합, 테이블 분할, 중복 테이블 추가, 중복 속성 추가"
items_2021_round1,Q009,해설이 너무 짧음,"블랙박스 테스트 종류: 동치 분할 검사(동등분할기법), 경계값 분석, 원인-효과 그래프 검사, 오류 예측 검사, 비교 검사"
items_2021_round1,Q001,해설 없음,(해설 없음)
items_2021_round1,Q002,해설이 너무 짧음,DB설계 절차 : 요구사항 분석 > 개념적 설계 > 논리적 설계 > 물리적 설계 > 구현
items_2021_round1,Q010,해설이 너무 짧음,시스템 테스트는 구현된 시스템이 정해진 요건에 적합한지 여부를 평가하기 위해 실제 운용과 같은 환경에서 시스템 전체에 대해서 행하는 테스트입니다.
items_2021_round1,Q011,해설 없음,(해설 없음)
items_2021_round1,Q012,해설 없음,(해설 없음)
items_2021_round1,Q014,해설이 너무 짧음,"Cardinality : 데이터의 행의 수, Degree : 속성의 수"
items_2021_round1,Q015,해설이 너무 짧음,p++로 인해 s[1]가 되면서 두번째 배열인 Lee와 38이 출력이 된다.
items_2021_round1,Q016,해설 없음,(해설 없음)
items_2021_round1,Q017,해설이 너무 짧음,0 + 1 + 2 + 3 + 4 + 5 = 15
items_2021_round1,Q019,해설이 너무 짧음,결합도와 품질(낮은 품질에서 좋은 품질 순) : 내용결합도 > 공통 결합도 > 외부 결합도 > 제어 결합도 > 스탬프 결합도 > 자료 결합도
items_2021_round1,Q020,해설 없음,(해설 없음)
items_2022_round2,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q003,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q004,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 네트워크 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round2,Q005,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 네트워크 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round2,Q006,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round2,Q007,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round2,Q008,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round2,Q009,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 네트워크 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round2,Q010,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q013,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round2,Q014,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 네트워크 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round2,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q003,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q004,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 네트워크 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round2,Q015,패턴 매칭: 이.*코드 문제는.*변수의 값 변화와 연산 과정을 추적하는 문제입니다,"이 C언어 코드 문제는 변수의 값 변화와 연산 과정을 추적하는 문제입니다.

**코드 실행 단계:**

1. **변수 초기화**: C언어에서 변수는 선언 시 초기화되지 않으면 쓰레..."
items_2022_round2,Q016,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round2,Q017,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round2,Q018,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 SQL 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 ..."
items_2022_round2,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q003,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q019,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q003,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round2,Q020,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round3,Q001,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q002,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round3,Q003,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q004,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q005,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 네트워크 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round3,Q006,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round3,Q007,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q008,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 정보보안 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round3,Q009,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q010,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 정보보안 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round3,Q011,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 기타 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을 찾..."
items_2022_round3,Q013,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q014,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 정보보안 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round3,Q015,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 정보보안 분야의 핵심 개념을 이해하는 문제입니다.

**개념 이해 과정:**

1. **문제 분석**: 문제에서 설명하는 내용의 핵심 특징과 작동 방식을 파악합니다. 중..."
items_2022_round3,Q016,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 운영체제 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징을..."
items_2022_round3,Q017,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q019,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
items_2022_round3,Q020,패턴 매칭: 이 문제는.*핵심 개념을 이해하는 문제입니다,"이 문제는 프로그래밍 분야의 핵심 개념을 이해하는 문제입니다.

**문제 해석 과정:**

1. **문제 분석**: 문제에서 설명하는 내용을 정확히 파악합니다. 핵심 키워드와 특징..."
