문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q002,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q003,아래의 employee테이블과 project테이블을 참고하여 보기의 SQL명령어에 알맞는 출력 값을 작성하시오.,,,,
Q004,다음은 운영체제 페이지 순서를 참고하여 할당된 프레임의 수가 3개일 때  LRU 알고리즘의 페이지 부재 횟수를 작성하시오. 페이지 참조 순서 : 7 0 1 2 0 3 0 4 2 3,,,,
Q005,다음은 네트워크 취약점에 대한 문제이다. 아래 내용을 보고 알맞는 용어를 작성하시오. - IP나 ICMP의 특성을 악용하여 엄청난 양의 데이터를 한 사이트에 집중적으로 보냄으로써 ,,,,
Q006,다음은 GoF 디자인 패턴과 관련된 문제이다. 괄호안에 알맞는 용어를 작성하시오. (        ) 패턴은 클래스나 객체들이 서로 상호작용하는 방법이나 책임 분배 방법을 정의하는,,,,
Q007,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q008,다음은 무결성제약조건에 대한 문제이다. 아래 표에서 어떠한 (       ) 무결성을 위반하였는지 작성하시오.,,,,
Q009,다음은 URL 구조에 관한 문제이다 . 아래  보기의 순서대로 URL에 해당하는 번호를 작성하시오. query : 서버에 전달할 추가 데이터 path : 서버 내의 특정 자원을 가,,,,
Q010,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q011,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q012,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q013,다음은 테스트 커버리지에 대한 문제이다. 아래 내용에 알맞는 답을 보기에서 골라 작성하시오. 1. 테스트를 통해 프로그램의 모든 문장을 최소한 한 번씩 실행했는지를 측정 2. 프로,,,,
Q015,"다음은 데이터베이스에 관한 문제이다. 아래 내용을 읽고 알맞는 답을 보기에서 찾아 골라 작성하시오. (1) 다른 테이블, 릴레이션의 기본 키를 참조하는 속성 또는 속성들의 집합 (",,,,
Q016,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q017,"다음 아래 내용을 보고 알맞는 용어를 작성하시오. (3글자로 작성) - 공용 네트워크를 통해 사설 네트워크를 확장하는 기술이다. - 사용자의 IP 주소를 숨기고, 사용자가 어디에서",,,,
Q018,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q019,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q020,다음은 네트워크에 대한 문제이다.  아래 내용을 보고 알맞는 용어를 작성하시오. - 중앙 관리나 고정된 인프라 없이 임시로 구성되는 네트워크이다. - 일반적으로 무선 통신을 통해 ,,,,
