우선순위,문제ID,회차,문제번호,주제,현재해설길이,개선사유,문제미리보기
높음,2022_round3,2022년 회3,Q004,일반,200,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),아래 코드에 대한 출력 값을 작성하시오.
높음,2022_round2,2022년 회2,Q008,일반,201,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 소스코드에 대한 출력값을 작성하시오.
높음,2022_round2,2022년 회2,Q016,c,206,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 C언어 코드에서 알맞는 출력값을 작성하시오.
높음,2022_round3,2022년 회3,Q020,java,208,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 자바 코드에 대한 출력 값을 작성하시오.
높음,2023_round1,2023년 회1,Q020,java,208,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 자바 코드에 대한 출력 값을 작성하시오.
높음,2022_round3,2022년 회3,Q007,일반,218,범용적 패턴 + 짧은 해설 (패턴 발견: 문제의 이미지를 참고하여),아래 데이터 명령어를 적용할 경우 알맞는 출력값을 작성하시오.  ​
높음,2023_round2,2023년 회2,Q014,java,220,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음은 자바에 대한 문제이다. 알맞은 출력값을 작성하시오.
높음,2022_round3,2022년 회3,Q009,python,275,범용적 패턴 + 짧은 해설 (패턴 발견: 코드 실행 결과 분석 문제입니다),다음 파이썬 코드에 대한 출력값을 작성하시오.
중간,2023_round3,2023년 회3,Q001,java,178,단계별 실행 추적 부족,다음은 Java 코드이다. 올바른 출력 결과를 작성하시오.
중간,2023_round2,2023년 회2,Q001,c,231,단계별 실행 추적 부족,다음은 C언어 코드의 문제이다. 보기의 조건에 맞도록 괄호 안에 알맞은 코드를 작성하시오. 입력값이 54321일 경우 출력값이 43215로 출력되어야 한다.
중간,2022_round3,2022년 회3,Q013,일반,366,단계별 실행 추적 부족,다음 코드에 대한 출력 값을 작성하시오.
중간,2022_round3,2022년 회3,Q017,객체지향,388,단계별 실행 추적 부족,"다음은 UML에 관한 설명이다. 괄호 안에 알맞는 답을 작성하시오. UML은 통합 모델링 언어로써, 시스템을 모델로 표현해주는 대표적인 모델링 언어이다. 구성 요소로는 사물, ( "
중간,2022_round3,2022년 회3,Q001,c,420,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),"아래는 C언어의 2차원 배열 형태이다. field의 경우 2차원 배열 형태는 예시처럼 출력되므로, 이를 참고하여  mines의 2차원 배열 형태를 작성하시오."
중간,2022_round1,2022년 회1,Q006,python,501,단계별 실행 추적 부족,다음은 파이썬 코드에서 출력되는 a와 b의 값을 작성하시오.
중간,2022_round1,2022년 회1,Q012,java,507,단계별 실행 추적 부족,다음 설명에 대한 알맞는 단어를 작성하시오. 자바 프로그래밍 언어를 이용한 xUnit의 테스트 기법으로써 숨겨진 단위 테스트를 끌어내어 정형화시켜 단위 테스트를 쉽게 해주는 테스트
중간,2024_round1,2024년 회1,Q012,python,574,단계별 실행 추적 부족,다음 파이썬 코드에 대한 알맞는 출력 값을 작성하시오.
중간,2022_round2,2022년 회2,Q007,java,647,범용적 패턴 발견 (패턴 발견: 문제의 이미지를 참고하여),다음 자바 코드에 알맞는 출력값을 작성하시오.
중간,2023_round2,2023년 회2,Q003,c,693,단계별 실행 추적 부족,"다음은 c언어의 코드이다. 보기의 조건에 맞추어 알맞은 출력값을 작성하시오. 입력값은 홍길동, 김철수, 박영희 순서로 주어진다."
