q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,OOAAA,,없음,images/2024_round3/Q001.png,java
Q002,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,3,,없음,images/2024_round3/Q002.png,python
Q003,아래의 employee테이블과 project테이블을 참고하여   보기의 SQL명령어에 알맞...,1,,없음,"images/2024_round3/Q003_1.png, images/2024_round3/Q003_2.png",sql
Q004,다음은 운영체제 페이지 순서를 참고하여   할당된 프레임의 수가 3개일 때  LRU 알고리...,12,LRU 페이지 부재 횟수,부족,,
Q005,다음은 네트워크 취약점에 대한 문제이다. 아래 내용을 보고   알맞는 용어를 작성하시오. ...,스머프,Smurf 또는 Smurfing,부족,,
Q006,다음은 GoF 디자인 패턴과 관련된 문제이다. 괄호안에 알맞는 용어를 작성하시오. (   ...,행위,행위 패턴,없음,,
Q007,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,20,,없음,images/2024_round3/Q007.png,c
Q008,다음은 무결성제약조건에 대한 문제이다. 아래 표에서 어떠한 (       ) 무결성을 위반...,개체,개체 무결성,없음,images/2024_round3/Q008.png,
Q009,다음은 URL 구조에 관한 문제이다. 아래  보기의 순서대로 URL에 해당하는 번호를 작성...,43125,URL 구조,없음,images/2024_round3/Q009.png,
Q010,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,45,,없음,images/2024_round3/Q010.png,python
Q011,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,52,,없음,images/2024_round3/Q011.png,java
Q012,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,312,,없음,images/2024_round3/Q012.png,c
Q013,다음은 테스트 커버리지에 대한 문제이다. 아래 내용에 알맞는 답을 보기에서 골라 작성하시오...,1. 문장， 2. 분기， 3. 조건,테스트 커버리지,없음,,
Q015,다음은 데이터베이스에 관한 문제이다. 아래 내용을 읽고 알맞는 답을 보기에서 찾아 골라 작...,(1) 외래키， (2) 후보키， (3) 대체키， (4) 슈퍼키,,없음,,
Q016,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,1,,없음,images/2024_round3/Q016.png,c
Q017,다음 아래 내용을 보고   알맞는 용어를 작성하시오.   (3글자로 작성)  - 공용 네트...,VPN,,없음,,
Q018,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,101,,없음,images/2024_round3/Q018.png,java
Q019,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,B0,,없음,images/2024_round3/Q019.png,java
Q020,다음은 네트워크에 대한 문제이다. 아래 내용을 보고   알맞는 용어를 작성하시오.  - 중...,ㄹ,Ad-hoc Network,부족,,
