문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,"아래 설명에 맞는 RAID 단계를 숫자로 작성하시오. - Striping(스트라이핑) 구현 방식 - I/O 로드의 분산으로 매우 빠른 속도 - 데이터를 블럭으로 분할 저장하며, 각",RAID 0,,,
Q002,"다음 설명을 확인하여 해당하는 항목을 보기에서 찾아 적으시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, rollback 등..)) 1. 오류가 발생하기 전까지의 사",1) redo,2) undo,,
Q003,다음 자바 문법에 알맞는 출력 결과를 작성하시오.,2000,,,
Q004,"다음 SQL 결과에 알맞는 쿼리을 작성하시오. SELECT name, score FROM 성적 ( 1 ) BY ( 2 ) ( 3 )",1) ORDER,2) score,3) DESC,
Q005,"데이터베이스의 이상현상 중, 삭제 이상에 대해 서술하시오.",삭제 이상,,,데이터를 삭제할 때 의도치 않은 다른 데이터도 함께 삭제되는 이상(삭제 이상)
Q006,다음은 파이썬 코드에서 출력되는 a와 b의 값을 작성하시오.,a= 20 b= 2,,,
Q007,"다음 설명과 관련된 답을 보기에서 골라 작성하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, remove, sort 등..)) 1. 요소를 확장해준다는 의미를 가지",1) extend,2) pop,3) reverse,
Q008,다음 아래 단어를 영어 약자로 작성하시오. 임시 키 무결성 프로토콜,TKIP,,,
Q009,"다음 중, 설명에 대한 답을 영어 약자로 작성하시오. 키보드나 마우스와 같은 장치 없이 말이나 행동 그리고 감정과 같은 인간의 자연스러운 표현으로 컴퓨터나 장치를 제어할 수 있는 ",NUI,,,
Q010,"다음은 분석도구에 대한 설명으로 보기에 알맞는 답을 작성하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, running analysis 등..)) 1. 소스 코드의",1) static,2) dynamic,,
Q011,다음 Java 코드 중에서 밑줄에 들어갈 알맞는 코드를 작성하시오.,Car,,,
Q012,다음 설명에 대한 알맞는 단어를 작성하시오. 자바 프로그래밍 언어를 이용한 xUnit의 테스트 기법으로써 숨겨진 단위 테스트를 끌어내어 정형화시켜 단위 테스트를 쉽게 해주는 테스트,JUnit,,,
Q013,다음 보기 중에서 블랙박스 테스트 기법을 3가지 골라 작성하시오.,ㄷ,ㄹ,ㅂ,
Q014,다음 소스코드에서 입력값이 5가 들어왔을때 출력되는 값을 작성하시오.,120,,,
Q015,"다음 중, 괄호 ( ) 안에 들어갈 연산자를 써서 정수를 역순으로 출력하는 알맞는 답을 작성하시오.",1) >,2) %,3) /,
Q016,다음 설명에 대한 답을 영어 약자로 작성하시오. 정보보호 관리체계의 영문 약자,ISMS (Information Security Management System),,,
Q017,"다음 설명 중, 괄호 ( ) 안에 들어가는 알맞는 답을 보기에서 선택하여 작성하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, 참조성, 무결성 등..)) 1. 슈퍼",1) 유일성,2) 최소성,,
Q002,후보키는 ( 1 ) 와/과 ( 2 ) 의 속성을 갖는다.,watering hole (워터링홀),,,
Q018,"다음 설명과 관련된 답을 보기에 찾아서 작서하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, Pharming, Ransomware등..)) 이 공격은 APT 공격에",29,,,
Q019,다음 소스코드가 실행할 때의 출력값을 작성하시오.,1) 단위 테스트,2) 통합 테스트,3) 시스템 테스트,4) 인수 테스트
Q020,다음은 V모델에서의 테스트 단계에 대한 설명으로 괄호안에 들어갈 답을 작성하시오.,1) 단위 테스트,2) 통합 테스트,3) 시스템 테스트,(답안 제공되지 않음)
